date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:16	1172756/1172756	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2211e514-HsoYgRHqsHMKAZ1LQ6JGvLNo1Ow%22	https://elcomercio.pe/deporte-total/futbol-peruano/alianza-lima-vs-melgar-en-vivo-en-arequipa-por-final-ida-liga-1-2022-via-golperu-goltv-star-plus-y-movistar-play-cuando-juegan-hora-canales-de-transmision-apuestas-alineaciones-y-donde-ver-minuto-a-minuto-resultado-futbol-libre-tv-video-rmmd-dtbn-lbposting-noticia/ak.t	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/deporte-total/futbol-peruano/alianza-lima-vs-melgar-en-vivo-en-arequipa-por-/ak.t	(from https://elcomercio.pe/deporte-total/futbol-peruano/alianza-lima-vs-melgar-en-vivo-en-arequipa-por-final-ida-liga-1-2022-via-golperu-goltv-star-plus-y-movistar-play-cuando-juegan-hora-canales-de-transmision-apuestas-alineaciones-y-donde-ver-minuto-a-minuto-resultado-futbol-libre-tv-video-rmmd-dtbn-lbposting-noticia/)
20:28:17	209973/209973	---M-Z	200	added ('OK')	text/html	etag:W/%2232229-SGyXDk4M2BEe0SK+2OG2gq9Xif8%22	https://elcomercio.pe/noticias/congreso/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/noticias/congreso/index.html	(from https://elcomercio.pe/politica/anibal-torres-congresistas-demandan-la-salida-del-jefe-de-gabinete-tras-ataque-misogino-a-sol-carreno-pedro-castillo-noticia/)
20:28:18	141212/141212	---M-Z	200	added ('OK')	text/html	etag:W/%2221591-by00o6T412JP0SglZ26UukQKkHk%22	https://elcomercio.pe/noticias/sol-carreno/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/noticias/sol-carreno/index.html	(from https://elcomercio.pe/politica/anibal-torres-congresistas-demandan-la-salida-del-jefe-de-gabinete-tras-ataque-misogino-a-sol-carreno-pedro-castillo-noticia/)
20:28:18	163349/163349	---MCZ	200	added ('OK')	text/html	etag:W/%2226c09-kPgMs4mTuFCwB4GgbQcdk0bExsQ%22	https://elcomercio.pe/politica/justicia/roberto-sanchez-reconoce-que-el-mincetur-contrato-a-pareja-de-bruno-pacheco-noticia/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/politica/justicia/roberto-sanchez-reconoce-que-el-mincetur-contrato-a-pareja-de-bruno-pacheco-noticia/index.html	(from https://elcomercio.pe/politica/anibal-torres-congresistas-demandan-la-salida-del-jefe-de-gabinete-tras-ataque-misogino-a-sol-carreno-pedro-castillo-noticia/)
20:28:18	163714/163714	---MCZ	200	added ('OK')	text/html	etag:W/%2226d76-x0mFOSTkBpP+0qngny/KLYiz6b0%22	https://elcomercio.pe/politica/embajada-de-estados-unidos-la-libertad-de-prensa-es-la-base-de-una-democracia-saludable-rmmn-noticia/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/politica/embajada-de-estados-unidos-la-libertad-de-prensa-es-la-base-de-una-democracia-saludable-rmmn-noticia/index.html	(from https://elcomercio.pe/politica/anibal-torres-congresistas-demandan-la-salida-del-jefe-de-gabinete-tras-ataque-misogino-a-sol-carreno-pedro-castillo-noticia/)
20:28:18	176701/176701	---MCZ	200	added ('OK')	text/html	etag:W/%222a032-1ELyPaUdX96vd6lx9PRSHaFYm9o%22	https://elcomercio.pe/politica/juicio-a-ollanta-humala-quienes-ganan-y-pierden-con-la-postergacion-de-la-declaracion-de-odebrecht-y-barata-noticia/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/politica/juicio-a-ollanta-humala-quienes-ganan-y-pierden-con-la-postergacion-de-la-declaracion-de-odebrecht-y-barata-noticia/index.html	(from https://elcomercio.pe/politica/anibal-torres-congresistas-demandan-la-salida-del-jefe-de-gabinete-tras-ataque-misogino-a-sol-carreno-pedro-castillo-noticia/)
20:28:19	3104/3104	---M--	200	added ('OK')	image/png	etag:%22e2de8ba9b7857f2e945c01681d20caadd313b0cb%22	https://elcomercio.pe/resizer/Y072FC2rnDOfRBJ22IeMjyh2viI=/0x47/smart/filters:format(png):quality(75)/cde.3.elcomercio.pe/img/0/1/4/1/2/1412587.png	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/resizer/Y072FC2rnDOfRBJ22IeMjyh2viI=/0x47/smart/filters_format(png)_quality(75)/cde.3.elcomercio.pe/img/0/1/4/1/2/1412587.png	(from https://elcomercio.pe/deporte-total/futbol-peruano/alianza-lima-vs-melgar-en-vivo-en-arequipa-por-final-ida-liga-1-2022-via-golperu-goltv-star-plus-y-movistar-play-cuando-juegan-hora-canales-de-transmision-apuestas-alineaciones-y-donde-ver-minuto-a-minuto-resultado-futbol-libre-tv-video-rmmd-dtbn-lbposting-noticia/)
20:28:19	166000/166000	---MCZ	200	added ('OK')	text/html	etag:W/%2227664-dCEvHopYPybAQ2j8a+CaNnzxdy0%22	https://elcomercio.pe/politica/actualidad/betssy-chavez-sobre-cuestion-de-confianza-nosotros-como-ejecutivo-nos-encontramos-maniatados-anibal-torres-congreso-rmmn-noticia/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/politica/actualidad/betssy-chavez-sobre-cuestion-de-confianza-nosotros-como-ejecutivo-nos-encontramos-maniatados-anibal-torres-congreso-rmmn-noticia/index.html	(from https://elcomercio.pe/politica/anibal-torres-congresistas-demandan-la-salida-del-jefe-de-gabinete-tras-ataque-misogino-a-sol-carreno-pedro-castillo-noticia/)
20:28:19	161931/161931	---MCZ	200	added ('OK')	text/html	etag:W/%222667f-Ls7w2IihIR0nFgS6cAQkMw10do4%22	https://elcomercio.pe/politica/dina-boluarte-autoridades-no-podemos-tener-expresiones-violentas-contras-las-mujeres-anibal-torres-rmmn-noticia/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/politica/dina-boluarte-autoridades-no-podemos-tener-expresiones-violentas-contras-las-mujeres-anibal-torres-rmmn-noticia/index.html	(from https://elcomercio.pe/politica/anibal-torres-congresistas-demandan-la-salida-del-jefe-de-gabinete-tras-ataque-misogino-a-sol-carreno-pedro-castillo-noticia/)
20:28:20	182829/182829	---MCZ	200	added ('OK')	text/html	etag:W/%222b821-omovVauL/NSh9iTUK3wQwuqk2yk%22	https://elcomercio.pe/politica/congresista-jose-maria-balcazar-contrato-como-asesor-a-juez-que-lo-absolvio-en-caso-por-difamacion-peru-bicentenario-congreso-noticia/	C:/proyectsHTrack/paginaPlazaVea/elcomercio.pe/politica/congresista-jose-maria-balcazar-contrato-como-asesor-a-juez-que-lo-absolvio-en-caso-por-difamacion-peru-bicentenario-congreso-noticia/index.html	(from https://elcomercio.pe/politica/anibal-torres-congresistas-demandan-la-salida-del-jefe-de-gabinete-tras-ataque-misogino-a-sol-carreno-pedro-castillo-noticia/)
